gene,replicate,treatment,time_point,k_on,k_off,k_syn,bf_point,bf_lower,bf_upper,bs_point,bs_lower,bs_upper,keep
ENSOCUG00000004821,2,unst,0,0.001,715.0793637774789,1.0,,,,,,,False
ENSOCUG00000004821,2,lps,2,0.4341815025578954,394.1576914036155,1.0,,,,,,,False
ENSOCUG00000004821,2,lps,4,0.22141454954609416,336.27898652401683,1.0,,,,,,,False
ENSOCUG00000004821,2,lps,6,0.001,367.38385876120253,1.0,,,,,,,False
ENSOCUG00000004821,3,unst,0,0.001,741.7756168647727,1.0,,,,,,,False
ENSOCUG00000004821,3,lps,2,0.001,957.4968966338226,1.0,,,,,,,False
ENSOCUG00000004821,3,lps,4,0.42797923332163207,461.91534091012267,1.0,,,,,,,False
ENSOCUG00000004821,3,lps,6,0.001,368.2449608024323,1.0,,,,,,,False
ENSOCUG00000004827,1,unst,0,0.3645821089708189,43.111933685215085,14.382291517241152,,,,,,,False
ENSOCUG00000004827,1,lps,2,0.29749372056737017,298.39982333899513,95.62148988948387,,,,,,,False
ENSOCUG00000004827,1,lps,4,0.001,632.2546289791354,1.0,,,,,,,False
ENSOCUG00000004827,1,lps,6,4.391687943216508,149.61487593868742,4.655218150841306,,,,,,,False
ENSOCUG00000004827,2,unst,0,0.2203147920330542,308.33644679432365,132.052418022131,,,,,,,False
ENSOCUG00000004827,2,lps,2,0.3645948890981871,3.6310476432979795,1.0,,,,,,,False
ENSOCUG00000004827,2,lps,4,0.8078994798375468,26.071109650052183,2.885579452434901,,,,,,,False
ENSOCUG00000004827,2,lps,6,1.9778933551829563,24.898754678219962,1.3179374663510728,,,,,,,False
ENSOCUG00000004827,3,unst,0,0.03985723429994981,418.39423850296544,799.7420432046423,0.03985723429994981,,,1.911455678897868,1.5077826210220995,2.4461589117172875,True
ENSOCUG00000004827,3,lps,2,0.1704654492193845,500.9905161940819,185.8222546266223,,,,,,,False
ENSOCUG00000004827,3,lps,4,0.2973908662399117,100.50154283564127,27.407958909151894,,,,,,,False
ENSOCUG00000004827,3,lps,6,0.7696907276996772,37.580827227587015,5.479834551891511,,,,,,,False
ENSOCUG00000004834,1,unst,0,0.001,822.2951827156018,1.0,,,,,,,False
ENSOCUG00000004834,1,lps,2,0.047343001419973864,352.32623168615163,842.3507422433472,0.047343001419973864,,,2.175651729855501,1.7764263880062998,2.627771703647656,True
ENSOCUG00000004834,1,lps,4,0.031010024392663545,448.5314418100469,761.2066353126766,0.031010024392663545,0.02205408829743896,0.03622211615570404,1.6971087517094234,1.2582408423326004,2.317381449094693,True
ENSOCUG00000004834,1,lps,6,0.015529492489438785,580.462991754336,1054.40358853882,0.015529492489438785,0.011877130304359109,0.018317673824182323,1.8164871895658516,1.2859226855261519,2.5958791517034485,True
ENSOCUG00000004834,2,unst,0,0.001,715.0793637774789,1.0,,,,,,,False
ENSOCUG00000004834,2,lps,2,0.07412051005667322,92.74625502196832,260.7082445610287,0.07412051005667322,0.06327657454835078,-0.32398298681388626,2.810984060750228,2.286307407048417,3.4986646013368636,True
ENSOCUG00000004834,2,lps,4,0.08314168922423046,59.32875273871348,400.7638021903854,0.08314168922423046,,,6.75496759480799,5.7371417605760655,8.202705034409467,True
ENSOCUG00000004834,2,lps,6,0.056626368765662086,308.7371440027853,1319.7003586627493,0.04813241345081277,,,5.941570472403775,4.733647137764602,7.477781719446632,True
ENSOCUG00000004834,3,unst,0,0.001,741.5507900784722,1.0,,,,,,,False
ENSOCUG00000004834,3,lps,2,0.06516838927236032,7.138109420505164,20.730689311644987,0.06516838927236032,,,2.904226888438182,2.525860455338933,3.3500709930888917,True
ENSOCUG00000004834,3,lps,4,0.11406128073580897,234.19431651503936,398.3846798263432,0.0627337044046949,,,6.44711604879993,,,True
ENSOCUG00000004834,3,lps,6,0.02260763354418005,12.4254939381037,26.59602153120831,0.02260763354418005,0.017964410610797673,0.028183194384318246,2.14043978160495,1.4095501229491025,3.357429261379583,True
ENSOCUG00000004839,1,unst,0,1.8931821387845258,19.712487095339647,6.070576738041943,,,,,,,False
ENSOCUG00000004839,1,lps,2,1.757368883331764,626.6402932896304,167.72969634873147,,,,,,,False
ENSOCUG00000004839,1,lps,4,10.762835921721235,374.1530355422259,16.77751607215872,,,,,,,False
ENSOCUG00000004839,1,lps,6,88.25143413106726,631.8582001092773,4.15050452481569,,,,,,,False
ENSOCUG00000004839,2,unst,0,0.3572662017615515,0.709867582690052,1.0,,,,,,,False
ENSOCUG00000004839,2,lps,2,2.0166243582620527,21.739467741354474,3.4374553527797316,,,,,,,False
ENSOCUG00000004839,2,lps,4,2.303034466145906,19.057507163260457,2.6448606088090374,,,,,,,False
ENSOCUG00000004839,2,lps,6,6.876553079154485,17.862934771997008,1.0901426995240893,,,,,,,False
ENSOCUG00000004839,3,unst,0,0.002002977236700438,0.0058248144642735235,1.4271856728194563,0.0004005954473400872,,,487.5862581255518,96.92663475134032,532.0446886410776,True
ENSOCUG00000004839,3,lps,2,0.7817389942299635,142.55820262654453,53.41141408760358,,,,,,,False
ENSOCUG00000004839,3,lps,4,1.6074174656304205,4.284202327113235,1.0,,,,,,,False
ENSOCUG00000004839,3,lps,6,9.593630848709996,22.58146675655954,1.0,,,,,,,False
ENSOCUG00000004845,1,unst,0,1.8033902165590678,1.3218292405387637,2.078347176867181,1.8033902165590678,0.7823721681297968,4.5242047971798485,1.5723265253385288,0.3086857053359995,6.12918957923587,True
ENSOCUG00000004845,1,lps,2,1.8985426392616878,1.6310403654151537,2.793145958924315,1.8985426392616878,1.1254440847738754,3.3877654264746595,1.712493460094942,0.6232770130708158,4.134906320632802,True
ENSOCUG00000004845,1,lps,4,14.711315106024925,111.75628571934172,10.475579809215729,,,,,,,False
ENSOCUG00000004845,1,lps,6,335.0672866968999,663.5056521491188,3.9007015470343753,,,,,,,False
ENSOCUG00000004845,2,unst,0,1.641255955351115,147.08763460716878,61.32245500864467,,,,,,,False
ENSOCUG00000004845,2,lps,2,1.5328707580494942,0.9372199244274849,1.47683938793413,2.220446049250313e-16,,,0.1103036272073914,,,True
ENSOCUG00000004845,2,lps,4,21.717179163876846,258.9541974079155,12.618573298421227,,,,,,,False
ENSOCUG00000004845,2,lps,6,28.460337025486346,215.53555614462243,8.004785693722463,,,,,,,False
ENSOCUG00000004845,3,unst,0,0.0013768115244141793,0.0021520565549383937,1.8763979995685849,,,,,,,False
ENSOCUG00000004845,3,lps,2,3.2076266079637183,222.7438552047355,74.47610839624248,,,,,,,False
ENSOCUG00000004845,3,lps,4,5.956656229015655,282.94427036276045,42.13254626138863,,,,,,,False
ENSOCUG00000004845,3,lps,6,11.443442346796877,62.42976034555638,4.232111249646725,,,,,,,False
ENSOCUG00000004848,1,unst,0,0.8221400542124899,113.40187666136873,25.777804452038986,,,,,,,False
ENSOCUG00000004848,1,lps,2,0.001,768.7190339108929,1.0,,,,,,,False
ENSOCUG00000004848,1,lps,4,4.517434627827903,95.5001656189727,6.047872979301829,,,,,,,False
ENSOCUG00000004848,1,lps,6,39.62028029918872,115.91469300459536,1.0,,,,,,,False
ENSOCUG00000004848,2,unst,0,0.39647627191238877,37.63000640920031,10.39421445171416,,,,,,,False
ENSOCUG00000004848,2,lps,2,0.6716697989416892,4.159740721258379,1.0,,,,,,,False
ENSOCUG00000004848,2,lps,4,1.9056302413821078,16.79068112566567,1.8308088606228414,,,,,,,False
ENSOCUG00000004848,2,lps,6,4.742580271818464,19.06928298528985,1.0555993609173289,,,,,,,False
ENSOCUG00000004848,3,unst,0,0.0994952724603319,66.78463618848089,92.58540023850384,0.0945205088373153,,,1.4279176722101736,1.2102775714378797,1.7346228097550311,True
ENSOCUG00000004848,3,lps,2,0.5109690876076916,8.293789129681173,3.191178999654805,,,,,,,False
ENSOCUG00000004848,3,lps,4,1.3962526637743211,32.67818967662053,5.529012555427409,,,,,,,False
ENSOCUG00000004848,3,lps,6,3.5382536872924355,10.99877585536734,1.0,,,,,,,False
ENSOCUG00000004849,1,unst,0,0.001,821.614154372364,1.0,,,,,,,False
ENSOCUG00000004849,1,lps,2,0.001,803.9226634334772,1.0,,,,,,,False
ENSOCUG00000004849,1,lps,4,0.10591770719087351,341.00333062071525,13.776081784728797,,,,,,,False
