gene,in_subset
ENSMUSG00000020361,False
ENSMUSG00000020363,False
ENSMUSG00000020380,False
ENSMUSG00000020386,False
ENSMUSG00000020392,False
ENSMUSG00000020393,False
ENSMUSG00000020397,False
ENSMUSG00000020399,False
ENSMUSG00000020400,False
ENSMUSG00000020407,False
ENSMUSG00000020413,False
ENSMUSG00000020422,False
ENSMUSG00000020424,False
ENSMUSG00000020437,False
ENSMUSG00000020440,False
ENSMUSG00000020444,False
ENSMUSG00000020451,False
ENSMUSG00000020453,False
ENSMUSG00000020476,False
ENSMUSG00000020485,False
ENSMUSG00000020495,False
ENSMUSG00000020564,False
ENSMUSG00000020572,False
ENSMUSG00000020573,False
ENSMUSG00000020577,False
ENSMUSG00000020589,False
ENSMUSG00000020611,False
ENSMUSG00000020629,False
ENSMUSG00000020638,True
ENSMUSG00000020641,True
ENSMUSG00000020642,False
ENSMUSG00000020647,False
ENSMUSG00000020652,False
ENSMUSG00000020661,False
ENSMUSG00000020664,False
ENSMUSG00000020668,False
ENSMUSG00000020671,False
ENSMUSG00000020689,True
ENSMUSG00000020691,False
ENSMUSG00000020694,False
ENSMUSG00000020696,False
ENSMUSG00000020702,False
ENSMUSG00000020705,False
ENSMUSG00000020716,False
ENSMUSG00000020720,False
ENSMUSG00000020733,False
ENSMUSG00000020737,False
ENSMUSG00000020741,False
ENSMUSG00000020773,False
ENSMUSG00000020777,False
ENSMUSG00000020790,False
ENSMUSG00000020806,False
ENSMUSG00000020817,False
ENSMUSG00000020818,False
ENSMUSG00000020823,False
ENSMUSG00000020827,False
ENSMUSG00000020841,False
ENSMUSG00000020868,False
ENSMUSG00000020883,False
ENSMUSG00000020893,False
ENSMUSG00000020897,False
ENSMUSG00000020898,False
ENSMUSG00000020901,False
ENSMUSG00000020918,False
ENSMUSG00000020941,False
ENSMUSG00000020946,False
ENSMUSG00000020952,False
ENSMUSG00000020954,False
ENSMUSG00000020973,False
ENSMUSG00000020974,False
ENSMUSG00000020978,False
ENSMUSG00000020988,False
ENSMUSG00000020993,False
ENSMUSG00000021003,False
ENSMUSG00000021024,False
ENSMUSG00000021025,True
ENSMUSG00000021036,False
ENSMUSG00000021038,False
ENSMUSG00000021039,False
ENSMUSG00000021040,False
ENSMUSG00000021067,False
ENSMUSG00000021069,False
ENSMUSG00000021087,False
ENSMUSG00000021096,False
ENSMUSG00000021102,False
ENSMUSG00000021103,False
ENSMUSG00000021108,False
ENSMUSG00000021109,False
ENSMUSG00000021116,False
ENSMUSG00000021123,False
ENSMUSG00000021125,False
ENSMUSG00000021127,True
ENSMUSG00000021133,False
ENSMUSG00000021140,False
ENSMUSG00000021175,False
ENSMUSG00000021196,False
ENSMUSG00000021241,False
ENSMUSG00000021245,False
ENSMUSG00000021250,True
ENSMUSG00000021266,False
ENSMUSG00000021270,False
ENSMUSG00000021285,False
ENSMUSG00000021303,False
ENSMUSG00000021322,False
ENSMUSG00000021360,False
ENSMUSG00000021366,False
ENSMUSG00000021367,True
ENSMUSG00000021377,False
ENSMUSG00000021384,False
ENSMUSG00000021457,False
ENSMUSG00000021466,False
ENSMUSG00000021474,False
ENSMUSG00000021476,False
ENSMUSG00000021482,False
ENSMUSG00000021488,False
ENSMUSG00000021495,False
ENSMUSG00000021497,False
ENSMUSG00000021501,False
ENSMUSG00000021504,False
ENSMUSG00000021532,False
ENSMUSG00000021546,False
ENSMUSG00000021559,False
ENSMUSG00000021583,False
ENSMUSG00000021595,False
ENSMUSG00000021598,False
ENSMUSG00000021614,False
ENSMUSG00000021619,False
ENSMUSG00000021639,False
ENSMUSG00000021668,False
ENSMUSG00000021670,False
ENSMUSG00000021686,False
ENSMUSG00000021687,False
ENSMUSG00000021690,False
ENSMUSG00000021701,False
ENSMUSG00000021709,False
